AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	biomaterial_provider	cell_line	cell_type	source_name	treated_with	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
152	SAMN03318132	SRX860475	NextSeq 500	2015-02-03	211	99	Mus musculus	SRR1781315	SRS832050	GSM1597695		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318227	SRX860476	NextSeq 500	2015-02-03	148	69	Mus musculus	SRR1781316	SRS832049	GSM1597696		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318072	SRX860477	NextSeq 500	2015-02-03	102	46	Mus musculus	SRR1781317	SRS832058	GSM1597697		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318635	SRX860478	NextSeq 500	2015-02-03	120	57	Mus musculus	SRR1781318	SRS832055	GSM1597698		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318418	SRX860479	NextSeq 500	2015-02-03	87	43	Mus musculus	SRR1781319	SRS832056	GSM1597699		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317937	SRX860480	NextSeq 500	2015-02-03	107	49	Mus musculus	SRR1781320	SRS832057	GSM1597700		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318090	SRX860481	NextSeq 500	2015-02-03	185	87	Mus musculus	SRR1781321	SRS832060	GSM1597701		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317848	SRX860482	NextSeq 500	2015-02-03	99	45	Mus musculus	SRR1781322	SRS832061	GSM1597702		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318335	SRX860483	NextSeq 500	2015-02-03	141	65	Mus musculus	SRR1781323	SRS832062	GSM1597703		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318605	SRX860484	NextSeq 500	2015-02-03	55	23	Mus musculus	SRR1781324	SRS832063	GSM1597704		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318141	SRX860485	NextSeq 500	2015-02-03	70	32	Mus musculus	SRR1781325	SRS832065	GSM1597705		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317977	SRX860486	NextSeq 500	2015-02-03	67	29	Mus musculus	SRR1781326	SRS832066	GSM1597706		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318184	SRX860487	NextSeq 500	2015-02-03	114	52	Mus musculus	SRR1781327	SRS832064	GSM1597707		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318470	SRX860488	NextSeq 500	2015-02-03	124	57	Mus musculus	SRR1781328	SRS832067	GSM1597708		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318181	SRX860489	NextSeq 500	2015-02-03	83	37	Mus musculus	SRR1781329	SRS832069	GSM1597709		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317847	SRX860490	NextSeq 500	2015-02-03	42	18	Mus musculus	SRR1781330	SRS832068	GSM1597710		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317941	SRX860491	NextSeq 500	2015-02-03	57	28	Mus musculus	SRR1781331	SRS832070	GSM1597711		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318048	SRX860492	NextSeq 500	2015-02-03	104	46	Mus musculus	SRR1781332	SRS832071	GSM1597712		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317949	SRX860493	NextSeq 500	2015-02-03	88	38	Mus musculus	SRR1781333	SRS832072	GSM1597713		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317947	SRX860494	NextSeq 500	2015-02-03	69	29	Mus musculus	SRR1781334	SRS832073	GSM1597714		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318385	SRX860495	NextSeq 500	2015-02-03	98	43	Mus musculus	SRR1781335	SRS832074	GSM1597715		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318025	SRX860496	NextSeq 500	2015-02-03	195	90	Mus musculus	SRR1781336	SRS832082	GSM1597716		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
